,left sensor,right sensor,left motor,right motor
509,155,206,40,50
510,140,221,37,53
511,143,207,39,51
512,136,180,41,49
513,144,156,44,46
514,152,152,45,45
515,184,130,50,40
516,189,131,50,40
517,200,134,51,39
518,207,129,52,38
519,201,125,52,38
520,166,128,48,42
521,145,138,45,45
522,128,153,43,47
523,112,190,38,52
524,131,224,36,54
525,129,289,29,61
526,144,326,27,63
527,140,355,25,66
528,143,329,27,63
529,148,309,29,61
530,142,264,33,57
531,127,240,34,56
532,129,222,36,54
533,129,180,40,50
534,131,194,39,51
535,134,171,42,48
536,125,189,39,51
537,129,207,38,52
538,123,219,36,54
539,119,218,36,54
540,120,229,35,55
541,131,241,34,56
542,117,262,31,59
543,140,288,31,59
544,128,285,30,60
545,143,314,28,62
546,149,382,25,68
547,142,359,25,66
548,152,376,25,67
549,137,352,25,66
550,152,350,26,64
551,138,378,25,69
552,153,361,25,65
553,151,403,25,70
554,152,417,25,70
555,165,413,25,69
556,158,392,25,68
557,152,355,25,65
558,144,370,25,67
559,144,339,26,64
560,138,339,25,65
561,149,345,26,64
562,149,335,27,63
563,134,368,25,68
564,129,337,25,65
565,143,352,25,65
566,152,369,25,66
567,153,375,25,67
568,157,374,25,66
569,162,421,25,70
570,146,379,25,68
571,138,356,25,66
572,144,350,25,65
573,136,342,25,65
574,145,338,26,64
575,136,287,30,60
576,130,261,32,58
577,129,230,35,55
578,135,220,37,53
579,134,202,39,51
580,125,172,41,49
581,123,177,40,50
582,135,177,41,49
583,127,177,40,50
584,135,183,41,49
585,135,183,41,49
586,137,191,40,50
587,126,227,35,55
588,130,240,34,56
589,132,275,31,59
590,128,267,32,58
591,127,300,28,62
592,132,304,28,62
593,131,325,26,64
594,131,331,25,65
595,130,311,27,63
596,127,318,26,64
597,131,305,28,62
598,119,228,35,55
599,121,205,37,53
600,119,205,37,53
601,120,194,38,52
602,105,186,37,53
603,119,171,40,50
604,134,162,43,47
605,116,176,39,51
606,111,201,36,54
607,128,235,35,55
608,119,281,29,61
609,136,287,30,60
